date,cause,temp,district
12PM 16-Sep-11,Electrical connection,28.5,Sampaloc
3PM 19-Sep-11,Electrical connection,28.25,Pandacan
12AM 20-Sep-11,Electrical connection,28,Ermita
4AM 21-Sep-11,Air-conditioned Fire/Air-cooler/Fan,28.75,Santa Cruz
10PM 21-Sep-11,Under Investigation,28.75,Santa Ana
7AM 22-Sep-11,Electrical connection,28.5,Santa Cruz
10AM 23-Sep-11,Under Investigation,28.25,Pandacan
5PM 24-Sep-11,Electrical connection,27,San Miguel
10AM 25-Sep-11,"LPG Leak, Gas, Keresone, Charcoal Stove",28.75,Sampaloc
11AM 25-Sep-11,Electrical connection,28.75,Tondo
3PM 25-Sep-11,Electrical connection,28.75,Tondo
7AM 27-Sep-11,"LPG Leak, Gas, Keresone, Charcoal Stove",25,Santa Cruz
8AM 27-Sep-11,Electrical connection,25,Pandacan
9AM 27-Sep-11,Electrical connection,25,Pandacan
9AM 27-Sep-11,Electrical connection,25,Sampaloc
10AM 27-Sep-11,Electrical connection,25,Sampaloc
10AM 27-Sep-11,Electrical connection,25,Tondo
12PM 27-Sep-11,Electrical connection,25,Tondo
5PM 27-Sep-11,Electrical connection,25,Sampaloc
6PM 27-Sep-11,"LPG Leak, Gas, Keresone, Charcoal Stove",25,Sampaloc
8PM 27-Sep-11,Electrical connection,25,Sampaloc
10PM 27-Sep-11,Electrical connection,25,Sampaloc
10PM 27-Sep-11,Electrical connection,25,Sampaloc
11PM 27-Sep-11,Electrical connection,25,Santa Cruz
12AM 28-Sep-11,Electrical connection,26.5,Sampaloc
3AM 28-Sep-11,Electrical connection,26.5,Intramuros
9AM 28-Sep-11,Electrical connection,26.5,Pandacan
4PM 28-Sep-11,Under Investigation,26.5,Ermita
5PM 28-Sep-11,Electrical connection,26.5,Sampaloc
7PM 28-Sep-11,Electrical connection,26.5,Tondo
4PM 29-Sep-11,Electrical connection,28.25,Sampaloc
5PM 29-Sep-11,Electrical connection,28.25,Tondo
6PM 29-Sep-11,Electrical connection,28.25,Pandacan
7PM 29-Sep-11,"Electrical Appliances (kettle, stove, ref, flat iron) (except fan)",28.25,Intramuros
7PM 29-Sep-11,Electrical connection,28.25,Tondo
9PM 29-Sep-11,Electrical connection,28.25,Sampaloc
2PM 30-Sep-11,Other,28,Tondo
6PM 30-Sep-11,Electrical connection,28,Sampaloc
12PM 2-Oct-11,"Electrical Appliances (kettle, stove, ref, flat iron) (except fan)",27.25,Paco
3AM 3-Oct-11,Electrical connection,26.5,Quiapo
